index,Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment_Method
1,750-67-8428,A,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,Ewallet
2,226-31-3081,C,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,Cash
3,631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,Credit card
4,123-19-1176,A,Member,Male,Health and beauty,58.22,8,23.288,489.048,Ewallet
5,373-73-7910,A,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,Ewallet
6,699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,Ewallet
7,355-53-5943,A,Member,Female,Electronic accessories,68.84,6,20.652,433.692,Ewallet
8,315-22-5665,C,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,Ewallet
9,665-32-9167,A,Member,Female,Health and beauty,36.26,2,3.626,76.146,Credit card
10,692-92-5582,B,Member,Female,Food and beverages,54.84,3,8.226,172.746,Credit card
11,351-62-0822,B,Member,Female,Fashion accessories,14.48,4,2.896,60.816,Ewallet
12,529-56-3974,B,Member,Male,Electronic accessories,25.51,4,5.102,107.142,Cash
13,365-64-0515,A,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,Ewallet
14,252-56-2699,A,Normal,Male,Food and beverages,43.19,10,21.595,453.495,Ewallet
15,829-34-3910,A,Normal,Female,Health and beauty,71.38,10,35.69,749.49,Cash
16,299-46-1805,B,Member,Female,Sports and travel,93.72,6,28.116,590.436,Cash
17,656-95-9349,A,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,Credit card
18,765-26-6951,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,Credit card
19,329-62-1586,A,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,Credit card
20,319-50-3348,B,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,Ewallet
21,300-71-4605,C,Member,Male,Electronic accessories,86.04,5,21.51,451.71,Ewallet
22,371-85-5789,B,Normal,Male,Health and beauty,87.98,3,13.197,277.137,Ewallet
23,273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,Credit card
24,636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,Ewallet
25,549-59-1358,A,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,Ewallet
26,227-03-5010,A,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,Credit card
27,649-29-6775,B,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,Cash
28,189-17-4241,A,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,Credit card
29,145-94-9061,B,Normal,Female,Food and beverages,88.36,5,22.09,463.89,Cash
